Company_Size_V2,Customer_Count,Total_MRR,Avg_MRR,Median_MRR,Total_LTV,Avg_LTV,Median_LTV,MRR_Pct,LTV_Pct,Top_20_Pct_Count,Pct_in_Top_20
Enterprise (200+ employees),10,1820.0,182.0,53.83,61147.0,6794.11,1194.0,1.2,0.6,0,0.0
Large (51-200 employees),66,20299.17,307.56,190.0,1649090.14,25370.62,10946.0,13.6,16.9,9,13.6
Medium (21-50 employees),139,24443.75,175.85,84.0,1639769.42,12237.09,5341.0,16.4,16.8,20,14.4
Small (6-20 employees),360,49881.54,138.56,61.0,3650103.0,10399.15,5888.0,33.4,37.5,38,10.6
Micro (1-5 employees),275,28668.02,104.25,61.0,1963187.79,7521.79,3399.0,19.2,20.2,23,8.4
Unknown,227,24138.5,106.34,63.75,770824.05,4481.54,1610.5,16.2,7.9,18,7.9
